anzahl;vorname;geschlecht;position
3;Soraya;w;1
3;Richard;m;1
3;Stine;w;1
3;Said;m;1
3;Sümeyye;w;1
3;Samuele;m;1
3;Tala;w;1
3;Severin;m;1
3;Theresia;w;1
3;Seyyid;m;1
3;Una;w;1
3;Sinan;m;1
3;Vera;w;1
3;Thore;m;1
3;Vivien;w;1
3;Tilo;m;1
3;Wilma;w;1
3;Timur;m;1
3;Zümra;w;1
3;Tony;m;1
3;Tyler;m;1
3;Vitus;m;1
3;Wilhelm;m;1
3;Yanis;m;1
3;Yassin;m;1
3;Yağız;m;1
3;Zain;m;1
3;Zeyd;m;1
3;Ziya;m;1
2;Anna;w;3
2;Christine;w;3
2;Eleonore;w;3
2;Helena;w;3
2;Isabella;w;3
2;Lou;w;3
2;Alfred;m;3
2;Nadine;w;3
2;Bo;m;3
2;Nicole;w;3
2;Edgar;m;3
2;Petra;w;3
2;Eric;m;3
2;Sophie;w;3
2;Felix;m;3
2;Ursula;w;3
2;Ferdinand;m;3
2;Ylvi;w;3
2;Franco;m;3
2;Friedrich;m;3
2;Georg;m;3
2;Heinz;m;3
2;Henning;m;3
2;Henry;m;3
2;Hubert;m;3
2;Hugo;m;3
2;Jürgen;m;3
2;Karl;m;3
2;Leo;m;3
2;Maximilian;m;3
2;Pascal;m;3
2;Patrick;m;3
2;Richard;m;3
2;Sebastian;m;3
2;Tidde;m;3
2;Walter;m;3
2;Ada;w;2
2;Adriana;w;2
2;Alea;w;2
2;Aleyna;w;2
2;Alina;w;2
2;Amara;w;2
2;Andrea;w;2
2;Angel;w;2
2;Angela;w;2
2;Anita;w;2
2;Annabell;w;2
2;Annamaria;w;2
2;Annika;w;2
2;Asel;w;2
2;Asenova;w;2
2;Atanasova;w;2
2;Azra;w;2
2;Baaba;w;2
2;Barbara;w;2
2;Bella;w;2
2;Brigitte;w;2
2;Carla;w;2
2;Carolina;w;2
2;Celina;w;2
2;Chanel;w;2
2;Coco;w;2
2;Cäcilia;w;2
2;Dalia;w;2
2;Dana;w;2
2;Dora;w;2
2;Eleanor;w;2
2;Eleonora;w;2
2;Eliz;w;2
2;Elli;w;2
2;Elodie;w;2
2;Erika;w;2
2;Abdullah;m;2
2;Evelyn;w;2
2;Abel;m;2
2;Farina;w;2
2;Aden;m;2
2;Fee;w;2
2;Aeneas;m;2
2;Felicia;w;2
2;Ahmad;m;2
2;Felicitas;w;2
2;Aid;m;2
2;Feline;w;2
2;Aleksander;m;2
2;Franziska;w;2
2;Alfio;m;2
2;Fritzi;w;2
2;Alfred;m;2
2;Giulia;w;2
2;Alvar;m;2
2;Halina;w;2
2;Amadeus;m;2
2;Hana;w;2
2;Amar;m;2
2;Hawa;w;2
2;Amir;m;2
2;Hristova;w;2
2;Ammar;m;2
2;Ina;w;2
2;An;m;2
2;Inge;w;2
2;Andrei;m;2
2;Ingrid;w;2
2;Anthony;m;2
2;Ioana;w;2
2;Arkadiusz;m;2
2;Irene;w;2
2;Armando;m;2
2;Irina;w;2
2;Armin;m;2
2;Iris;w;2
2;Arno;m;2
2;Izabela;w;2
2;Arnold;m;2
2;Jana;w;2
2;Arslan;m;2
2;Jennifer;w;2
2;Ata;m;2
2;Joan;w;2
2;Aurelius;m;2
2;Jule;w;2
2;Bas;m;2
2;Juna;w;2
2;Bastian;m;2
2;Junia;w;2
2;Benedict;m;2
2;Kaur;w;2
2;Bennet;m;2
2;Kiana;w;2
2;Bennett;m;2
2;Kiara;w;2
2;Bernd;m;2
2;Krasimirova;w;2
2;Bora;m;2
2;Kristin;w;2
2;Burak;m;2
2;Laetitia;w;2
2;Casper;m;2
2;Layla;w;2
2;Cem;m;2
2;Lee;w;2
2;Cemal;m;2
2;Leona;w;2
2;Christopher;m;2
2;Leonor;w;2
2;Ciel;m;2
2;Lien;w;2
2;Connor;m;2
2;Lilia;w;2
2;Conrad;m;2
2;Lille;w;2
2;Denis;m;2
2;Linn;w;2
2;Deniz;m;2
2;Liv;w;2
2;Dennis;m;2
2;Livia;w;2
2;Desislavov;m;2
2;Lore;w;2
2;Diego;m;2
2;Loreen;w;2
2;Domenico;m;2
2;Luz;w;2
2;Domingos;m;2
2;Luzie;w;2
2;Donato;m;2
2;Lydia;w;2
2;Eden;m;2
2;Mae;w;2
2;Ediz;m;2
2;Maisy;w;2
2;Edward;m;2
2;Manuela;w;2
2;Elijah;m;2
2;Margarethe;w;2
2;Emanuel;m;2
2;Margarita;w;2
2;Emir;m;2
2;Mari;w;2
2;Enea;m;2
2;Marielle;w;2
2;Enes;m;2
2;Marietta;w;2
2;Ennio;m;2
2;Marike;w;2
2;Eren;m;2
2;Marisa;w;2
2;Ernesto;m;2
2;Marlena;w;2
2;Ernst;m;2
2;Marlie;w;2
2;Erwin;m;2
2;Mary;w;2
2;Ewald;m;2
2;Masal;w;2
2;Falk;m;2
2;Maylin;w;2
2;Faruk;m;2
2;Melanie;w;2
2;Fernando;m;2
2;Michaela;w;2
2;Filippo;m;2
2;Milena;w;2
2;Francisco;m;2
2;Milou;w;2
2;Georgiev;m;2
2;Minou;w;2
2;Georgios;m;2
2;Monika;w;2
2;Gino;m;2
2;Monique;w;2
2;Giorgio;m;2
2;Nhi;w;2
2;Giuseppe;m;2
2;Noa;w;2
2;Gregor;m;2
2;Noé;w;2
2;Halid;m;2
2;Petra;w;2
2;Halil;m;2
2;Pheline;w;2
2;Han;m;2
2;Pia;w;2
2;Hubert;m;2
2;Pola;w;2
2;Huy;m;2
2;Rahel;w;2
2;Ian;m;2
2;Ramona;w;2
2;Ilias;m;2
2;Ronja;w;2
2;Immanuel;m;2
2;Rosemarie;w;2
2;Ismet;m;2
2;Sabine;w;2
2;Jackson;m;2
2;Sahra;w;2
2;Jaden;m;2
2;Salome;w;2
2;Jano;m;2
2;Sidney;w;2
2;Jaro;m;2
2;Silke;w;2
2;Jasper;m;2
2;Simone;w;2
2;Jens;m;2
2;Stefania;w;2
2;Joe;m;2
2;Sue;w;2
2;Jordan;m;2
2;Suri;w;2
2;Joshua;m;2
2;Tamara;w;2
2;Junis;m;2
2;Tina;w;2
2;Karlo;m;2
2;Ulrike;w;2
2;Kevin;m;2
2;Vasileva;w;2
2;Lamin;m;2
2;Verena;w;2
2;Leano;m;2
2;Veronika;w;2
2;Len;m;2
2;Vincenza;w;2
2;Lennard;m;2
2;Wilhelmina;w;2
2;Leonardo;m;2
2;Yakub;w;2
2;León;m;2
2;Yuliyanova;w;2
2;Lian;m;2
2;Yuna;w;2
2;Lorenz;m;2
2;Zina;w;2
2;Lou;m;2
2;Zofia;w;2
2;Luk;m;2
2;Élise;w;2
2;Luka;m;2
2;Lutz;m;2
2;Mael;m;2
2;Marcus;m;2
2;Mario;m;2
2;Marlon;m;2
2;Matheo;m;2
2;Mathias;m;2
2;Mattheo;m;2
2;Miguel;m;2
2;Mihailov;m;2
2;Milian;m;2
2;Miraç;m;2
2;Mirza;m;2
2;Mohamed;m;2
2;Necati;m;2
2;Niklas;m;2
2;Nikolas;m;2
2;Noël;m;2
2;Oliver;m;2
2;Osman;m;2
2;Otis;m;2
2;Otto;m;2
2;Paolo;m;2
2;Phil;m;2
2;Phileas;m;2
2;Philippe;m;2
2;Phillip;m;2
2;Pierre;m;2
2;Ricardo;m;2
2;Rio;m;2
2;Rodi;m;2
2;Romeo;m;2
2;Rudi;m;2
2;Rémi;m;2
2;Salem;m;2
2;Samu;m;2
2;Santino;m;2
2;Scott;m;2
2;Sergio;m;2
2;Sinan;m;2
2;Stephan;m;2
2;Tayler;m;2
2;Thilo;m;2
2;Tijan;m;2
2;Tobias;m;2
2;Todorov;m;2
2;Tyler;m;2
2;Umeyr;m;2
2;Umut;m;2
2;Valentino;m;2
2;Veli;m;2
2;Veselinov;m;2
2;Vitus;m;2
2;Walter;m;2
2;Willem;m;2
2;Wim;m;2
2;Wolfgang;m;2
2;Yaro;m;2
2;Yasin;m;2
2;Yaşar;m;2
2;Adele;w;1
2;Afra;w;1
2;Aisha;w;1
2;Alaa;w;1
2;Alani;w;1
2;Aleena;w;1
2;Alesia;w;1
2;Alev;w;1
2;Alexandra;w;1
2;Alin;w;1
2;Abel;m;1
2;Alisha;w;1
2;Adnan;m;1
2;Alisia;w;1
2;Adonis;m;1
2;Alissa;w;1
2;Ahmad;m;1
2;Almas;w;1
2;Akin;m;1
2;Almira;w;1
2;Albert;m;1
2;Amanda;w;1
2;Aleksandar;m;1
2;Amine;w;1
2;Aleksej;m;1
2;Amélie;w;1
2;Alexandros;m;1
2;Anastasija;w;1
2;Alexandru;m;1
2;Andjela;w;1
2;Alp;m;1
2;Anne;w;1
2;Altay;m;1
2;Annelie;w;1
2;Amanuel;m;1
2;Annie;w;1
2;Anthony;m;1
2;Aria;w;1
2;Aram;m;1
2;Arianna;w;1
2;Arel;m;1
2;Arin;w;1
2;Ares;m;1
2;Artemis;w;1
2;Aris;m;1
2;Asia;w;1
2;Arjen;m;1
2;Asja;w;1
2;Arman;m;1
2;Asmin;w;1
2;Arno;m;1
2;Assia;w;1
2;Aro;m;1
2;Aura;w;1
2;Aryan;m;1
2;Ayda;w;1
2;Asaf;m;1
2;Ayşe;w;1
2;Asen;m;1
2;Açelya;w;1
2;August;m;1
2;Bella;w;1
2;Ayaan;m;1
2;Betül;w;1
2;Aybars;m;1
2;Blessing;w;1
2;Ayden;m;1
2;Büşra;w;1
2;Ayman;m;1
2;Carlota;w;1
2;Bastian;m;1
2;Carolina;w;1
2;Batu;m;1
2;Cataleya;w;1
2;Batuhan;m;1
2;Celina;w;1
2;Bene;m;1
2;Ceylin;w;1
2;Benedict;m;1
2;Christina;w;1
2;Benicio;m;1
2;Cinderella;w;1
2;Boris;m;1
2;Coco;w;1
2;Bryan;m;1
2;Dalia;w;1
2;Caio;m;1
2;Darya;w;1
2;Canluca;m;1
2;Dilyana;w;1
2;Casper;m;1
2;Dora;w;1
2;Cedric;m;1
2;Dorothea;w;1
2;Cemal;m;1
2;Eara;w;1
2;Clemens;m;1
2;Edith;w;1
2;Cornelius;m;1
2;Ekaterina;w;1
2;Costa;m;1
2;Elara;w;1
2;Damiano;m;1
2;Eleanor;w;1
2;Dani;m;1
2;Eliane;w;1
2;Darius;m;1
2;Elmedina;w;1
2;Davud;m;1
2;Elmina;w;1
2;Denny;m;1
2;Elodie;w;1
2;Devin;m;1
2;Elvira;w;1
2;Devran;m;1
2;Ema;w;1
2;Dimitrios;m;1
2;Emely;w;1
2;Diyan;m;1
2;Emin;w;1
2;Diyar;m;1
2;Enie;w;1
2;Dominic;m;1
2;Enni;w;1
2;Dylan;m;1
2;Erva;w;1
2;Eduard;m;1
2;Esin;w;1
2;Edvin;m;1
2;Esmeralda;w;1
2;Ege;m;1
2;Esra;w;1
2;Ekrem;m;1
2;Ewa;w;1
2;Elham;m;1
2;Fatima;w;1
2;Eliyas;m;1
2;Filiz;w;1
2;Emanuele;m;1
2;Finya;w;1
2;Eneas;m;1
2;Freyja;w;1
2;Erkan;m;1
2;Gabriella;w;1
2;Eyad;m;1
2;Giorgia;w;1
2;Falk;m;1
2;Giulietta;w;1
2;Fares;m;1
2;Grace;w;1
2;Faris;m;1
2;Gözde;w;1
2;Fatih;m;1
2;Haley;w;1
2;Finlay;m;1
2;Helia;w;1
2;Finley;m;1
2;Henriette;w;1
2;Fitz;m;1
2;Henrike;w;1
2;Floris;m;1
2;Hilal;w;1
2;Frank;m;1
2;Hilda;w;1
2;Frederic;m;1
2;Hiranur;w;1
2;Fredrik;m;1
2;Holly;w;1
2;Gennaro;m;1
2;İkra;w;1
2;Gideon;m;1
2;Ilda;w;1
2;Giulio;m;1
2;Inaya;w;1
2;Güney;m;1
2;Iris;w;1
2;Hanzala;m;1
2;Irma;w;1
2;Harry;m;1
2;Isa;w;1
2;Hektor;m;1
2;Isabelle;w;1
2;Hermann;m;1
2;Isalie;w;1
2;Hussein;m;1
2;Jannat;w;1
2;Ian;m;1
2;Jella;w;1
2;İbrahim;m;1
2;Jil;w;1
2;Idris;m;1
2;Joni;w;1
2;Igor;m;1
2;Judith;w;1
2;Ilan;m;1
2;Julina;w;1
2;Ilias;m;1
2;Juni;w;1
2;Ilja;m;1
2;Juno;w;1
2;İlyas;m;1
2;Kaira;w;1
2;Isak;m;1
2;Katinka;w;1
2;Ismail;m;1
2;Khadija;w;1
2;Jago;m;1
2;Kim;w;1
2;Jakub;m;1
2;Kiyana;w;1
2;James;m;1
2;Laila;w;1
2;Jamie;m;1
2;Lamar;w;1
2;Janno;m;1
2;Larina;w;1
2;Jarne;m;1
2;Lawin;w;1
2;Jasin;m;1
2;Leandra;w;1
2;Jawad;m;1
2;Leeloo;w;1
2;Jayson;m;1
2;Leia;w;1
2;Jean;m;1
2;Lenia;w;1
2;Joe;m;1
2;Lenja;w;1
2;Jordan;m;1
2;Leoni;w;1
2;Jorin;m;1
2;Lieselotte;w;1
2;Josh;m;1
2;Lilith;w;1
2;Joud;m;1
2;Liljana;w;1
2;Jules;m;1
2;Lillie;w;1
2;Jurek;m;1
2;Lilo;w;1
2;Jusuf;m;1
2;Linna;w;1
2;Kai;m;1
2;Linnea;w;1
2;Kamal;m;1
2;Liyana;w;1
2;Kaon;m;1
2;Lore;w;1
2;Karan;m;1
2;Lorin;w;1
2;Kasimir;m;1
2;Luca;w;1
2;Kaspar;m;1
2;Lujain;w;1
2;Kerem;m;1
2;Luzie;w;1
2;Khalil;m;1
2;Lya;w;1
2;Kolja;m;1
2;Léa;w;1
2;Konstantinos;m;1
2;Léana;w;1
2;Kristian;m;1
2;Madeleine;w;1
2;Kurt;m;1
2;Madlen;w;1
2;Kylian;m;1
2;Maha;w;1
2;Laslo;m;1
2;Mahi;w;1
2;Lauand;m;1
2;Mai;w;1
2;Laurens;m;1
2;Maia;w;1
2;Lemar;m;1
2;Malea;w;1
2;Len;m;1
2;Manisa;w;1
2;Leonidas;m;1
2;Marianna;w;1
2;Levon;m;1
2;Maru;w;1
2;Logan;m;1
2;Mary;w;1
2;Lou;m;1
2;Mascha;w;1
2;Louay;m;1
2;Maxi;w;1
2;Ludwig;m;1
2;Melike;w;1
2;Lui;m;1
2;Meliya;w;1
2;Lutz;m;1
2;Merjem;w;1
2;Lyan;m;1
2;Merve;w;1
2;Lyon;m;1
2;Meva;w;1
2;Maddox;m;1
2;Mia-Sophie;w;1
2;Maksim;m;1
2;Michelle;w;1
2;Mariano;m;1
2;Minel;w;1
2;Marko;m;1
2;Minna;w;1
2;Marvin;m;1
2;Miya;w;1
2;Matei;m;1
2;Nadia;w;1
2;Mathis;m;1
2;Nadin;w;1
2;Mattheo;m;1
2;Naila;w;1
2;Maxime;m;1
2;Narin;w;1
2;Meran;m;1
2;Nayla;w;1
2;Merlin;m;1
2;Nea;w;1
2;Mico;m;1
2;Neela;w;1
2;Mijo;m;1
2;Nefeli;w;1
2;Mikel;m;1
2;Nelly;w;1
2;Mila;m;1
2;Nesrin;w;1
2;Miles;m;1
2;Nevin;w;1
2;Miro;m;1
2;Niki;w;1
2;Mischa;m;1
2;Nissrine;w;1
2;Muaz;m;1
2;Noa;w;1
2;Muhamed;m;1
2;Nomi;w;1
2;Nali;m;1
2;Noémie;w;1
2;Nathanael;m;1
2;Ophelia;w;1
2;Nelian;m;1
2;Palina;w;1
2;Nelio;m;1
2;Pheline;w;1
2;Nelson;m;1
2;Pinar;w;1
2;Nemo;m;1
2;Polina;w;1
2;Nicholas;m;1
2;Princess;w;1
2;Nicolai;m;1
2;Rabia;w;1
2;Nicolás;m;1
2;Rana;w;1
2;Nikita;m;1
2;Rania;w;1
2;Nikolaj;m;1
2;Rhea;w;1
2;Nilas;m;1
2;Romina;w;1
2;Nilo;m;1
2;Roya;w;1
2;Noan;m;1
2;Runa;w;1
2;Noyan;m;1
2;Ruth;w;1
2;Nuh;m;1
2;Rüya;w;1
2;Osama;m;1
2;Samaya;w;1
2;Otto;m;1
2;Sanya;w;1
2;Patrice;m;1
2;Saphira;w;1
2;Quentin;m;1
2;Sarya;w;1
2;Quinn;m;1
2;Selma;w;1
2;Ragnar;m;1
2;Seyedeh;w;1
2;Rahman;m;1
2;Shaya;w;1
2;Raik;m;1
2;Shirin;w;1
2;Rami;m;1
2;Sienna;w;1
2;Rasmus;m;1
2;Sıla;w;1
2;Ravi;m;1
2;Sila;w;1
2;Remi;m;1
2;Simay;w;1
2;Riccardo;m;1
2;Sohia;w;1
2;Roberto;m;1
2;Solin;w;1
2;Rudi;m;1
2;Stefania;w;1
2;Salomon;m;1
2;Stefanie;w;1
2;Salvador;m;1
2;Suvi;w;1
2;Samir;m;1
2;Teresa;w;1
2;Samson;m;1
2;Theda;w;1
2;Sandro;m;1
2;Tiffany;w;1
2;Santiago;m;1
2;Tinka;w;1
2;Santino;m;1
2;Vanessa;w;1
2;Semih;m;1
2;Veronika;w;1
2;Soufian;m;1
2;Vina;w;1
2;Tammo;m;1
2;Wanda;w;1
2;Teo;m;1
2;Yade;w;1
2;Teoman;m;1
2;Yasmina;w;1
2;Thies;m;1
2;Yuki;w;1
2;Thijs;m;1
2;Yusra;w;1
2;Thomas;m;1
2;Zahra;w;1
2;Tiam;m;1
2;Zehra;w;1
2;Valentino;m;1
2;Zeliha;w;1
2;Valerian;m;1
2;Ziva;w;1
2;Valerio;m;1
2;Zoi;w;1
2;Viktor;m;1
2;Zoí;w;1
2;Vincenzo;m;1
2;Zuri;w;1
2;Vitali;m;1
2;Zuzanna;w;1
2;Willem;m;1
2;Willi;m;1
2;Willy;m;1
2;Yannik;m;1
2;Yari;m;1
2;Yonah;m;1
2;Yousef;m;1
2;Yuki;m;1
2;Yuma;m;1
2;Yunis;m;1
2;Yuri;m;1
2;Ziyad;m;1
2;Émile;m;1
1;André;m;5
1;Adelheid;w;5
1;Apollinaris;m;5
1;Elisabeth;w;5
1;Elsayed;m;5
1;Vatersname);w;5
1;Hermann;m;5
1;Kerem;m;5
1;Timoti-Keoni;m;5
1;Alexander;m;4
1;Augustus;m;4
1;+;w;4
1;Benedikt;m;4
1;Ava;w;4
1;Christian;m;4
1;Cornelia;w;4
1;Elsayed;m;4
1;Dadze;w;4
1;Hannes;m;4
1;Elisabeth;w;4
1;Hariton;m;4
1;Elli;w;4
1;Hector;m;4
1;Fleur;w;4
1;Hubert;m;4
1;Fouda;w;4
1;Ibrahim;m;4
1;Luise;w;4
1;Karl;m;4
1;Marie;w;4
1;Max;m;4
1;Rasheed;w;4
1;Maximilian;m;4
1;Ruth;w;4
1;Noel;m;4
1;Silvia;w;4
1;Oro;m;4
1;Reinhard;m;4
1;Sylvester;m;4
1;Theodor;m;4
1;Thien;m;4
1;Tino;m;4
1;Zidane;m;4
1;(Vorname;w;3
1;Adepa;w;3
1;Agathe;w;3
1;Agnes;w;3
1;Akua;w;3
1;Akumu;w;3
1;Alegria;w;3
1;Alicia;w;3
1;Alija;w;3
1;Amanda;w;3
1;Amanfo;w;3
1;Amba;w;3
1;Amosi;w;3
1;Angel;w;3
1;Anh;w;3
1;Animwaa;w;3
1;Annegret;w;3
1;Anneliese;w;3
1;Adil;m;3
1;Annemarie;w;3
1;Ahmet;m;3
1;Anouk;w;3
1;Albin;m;3
1;Anuk;w;3
1;Alemu;m;3
1;Asmaou;w;3
1;Ali;m;3
1;Augusta;w;3
1;Amaru;m;3
1;Aurelia;w;3
1;Anakin;m;3
1;Balahatun;w;3
1;Archie;m;3
1;Beatrice;w;3
1;Aui;m;3
1;Benedicta;w;3
1;Aurelian;m;3
1;Besuah;w;3
1;Axel;m;3
1;Betttina;w;3
1;Bakr;m;3
1;Biene;w;3
1;Balaaga;m;3
1;Blanche;w;3
1;Barley;m;3
1;Brigitte;w;3
1;Basire;m;3
1;Carlina;w;3
1;Ben;m;3
1;Carolina;w;3
1;Benedikt;m;3
1;Caterina;w;3
1;Benno;m;3
1;Chanel;w;3
1;Bernhard;m;3
1;Chi;w;3
1;Birk;m;3
1;Christel;w;3
1;Boris;m;3
1;Chun;w;3
1;Bru;m;3
1;Clara;w;3
1;Bruno;m;3
1;Claudia;w;3
1;Carl;m;3
1;Coco;w;3
1;Cassius;m;3
1;Daniela;w;3
1;Cay;m;3
1;Dolores;w;3
1;Cesur;m;3
1;Duruve;w;3
1;Charles;m;3
1;Désirée;w;3
1;Corleone;m;3
1;Edith;w;3
1;Cosimo;m;3
1;Ela;w;3
1;Daniel;m;3
1;Elaine;w;3
1;Daud;m;3
1;Elisabetha;w;3
1;David;m;3
1;Elke;w;3
1;Desire;m;3
1;Ellen;w;3
1;Devine;m;3
1;Ellie;w;3
1;Django;m;3
1;Else;w;3
1;Dux;m;3
1;Emilia;w;3
1;Ediagbonya;m;3
1;Emilie;w;3
1;Eduard;m;3
1;Emily;w;3
1;Edward;m;3
1;Eni;w;3
1;Eliel;m;3
1;Eugenie;w;3
1;Emil;m;3
1;Faa;w;3
1;Emilian;m;3
1;Fazilet;w;3
1;Enrique;m;3
1;Fee;w;3
1;Erich;m;3
1;Fern;w;3
1;Ernesto;m;3
1;Fernella;w;3
1;Faber;m;3
1;Fiona;w;3
1;Fadhil;m;3
1;Florence;w;3
1;Fidelius;m;3
1;Fortuna;w;3
1;Finlay;m;3
1;Franziska;w;3
1;Finley;m;3
1;Frederike;w;3
1;Flynn;m;3
1;Freya;w;3
1;Frederick;m;3
1;Fritzi;w;3
1;Frederico;m;3
1;Gabriele;w;3
1;Friederich;m;3
1;Gaowa;w;3
1;Fritz;m;3
1;Gerda;w;3
1;Frédéric;m;3
1;Gina;w;3
1;Gheorge;m;3
1;Gisela;w;3
1;Giulio;m;3
1;Grace;w;3
1;Gordan;m;3
1;Greta;w;3
1;Grisu;m;3
1;Grete;w;3
1;Guefack;m;3
1;Gwendolin;w;3
1;Gustl;m;3
1;Hannah;w;3
1;Harry;m;3
1;Haya;w;3
1;Hartmut;m;3
1;Hayat;w;3
1;Hector;m;3
1;Hedwig;w;3
1;Heliodoro;m;3
1;Heide;w;3
1;Henri;m;3
1;Heidi;w;3
1;Horst;m;3
1;Ida;w;3
1;Hubertus;m;3
1;Inga;w;3
1;Hussain;m;3
1;Ingeborg;w;3
1;Ian;m;3
1;Ingrid;w;3
1;Ikponmwosa;m;3
1;Jaklina;w;3
1;Ilya;m;3
1;Jannyn;w;3
1;Immanuel;m;3
1;Jette;w;3
1;Isak;m;3
1;Joia;w;3
1;Jakob;m;3
1;Joline;w;3
1;Jannes;m;3
1;Judith;w;3
1;Jano;m;3
1;Juliette;w;3
1;Janto;m;3
1;Juna;w;3
1;Javier;m;3
1;Karoline;w;3
1;Joachim;m;3
1;Kaur;w;3
1;Johann;m;3
1;Kehinde;w;3
1;José;m;3
1;Kristina;w;3
1;Julius;m;3
1;Laura;w;3
1;Junior;m;3
1;Leontine;w;3
1;Kaamel;m;3
1;Leyla;w;3
1;Kamau;m;3
1;Li;w;3
1;Karl-Heinz;m;3
1;Liesel;w;3
1;Kasongo;m;3
1;Lilibeth;w;3
1;Katambala;m;3
1;Lilli;w;3
1;Keanu;m;3
1;Lina;w;3
1;Khang;m;3
1;Linh;w;3
1;Khudeda;m;3
1;Lioba;w;3
1;Klaus;m;3
1;Liv;w;3
1;Kostantin;m;3
1;Livia;w;3
1;Kurt;m;3
1;Loki;w;3
1;Kweku;m;3
1;Lore;w;3
1;Lennix;m;3
1;Lotte;w;3
1;Lenno;m;3
1;Louise;w;3
1;Leonhard;m;3
1;Lovis;w;3
1;Levi;m;3
1;Lu;w;3
1;Liam;m;3
1;Lucia;w;3
1;Lorenz;m;3
1;Luisa;w;3
1;Lou;m;3
1;Mae;w;3
1;Louis;m;3
1;Magdalena;w;3
1;Ludo;m;3
1;Mara;w;3
1;Luis;m;3
1;Margareta;w;3
1;Manfred;m;3
1;Margit;w;3
1;Mares;m;3
1;Margret;w;3
1;Marian;m;3
1;Marita;w;3
1;Marliese;w;3
1;Marinov;m;3
1;Mary;w;3
1;Marinus;m;3
1;Mathilda;w;3
1;Mariusz;m;3
1;Mayala;w;3
1;Marlon;m;3
1;Meryem;w;3
1;Marten;m;3
1;Mi;w;3
1;Martin;m;3
1;Mia;w;3
1;Mats;m;3
1;Minh;w;3
1;Mattheus;m;3
1;Minou;w;3
1;Mattis;m;3
1;Moana;w;3
1;Mete;m;3
1;Mohammed;w;3
1;Mike;m;3
1;Monika;w;3
1;Miró;m;3
1;Mỹ;w;3
1;Mo;m;3
1;Nana;w;3
1;Mohamed;m;3
1;Natja;w;3
1;Moritz;m;3
1;Ngokazi;w;3
1;Mpiasa;m;3
1;Nia;w;3
1;Naael;m;3
1;Nihayet;w;3
1;Nakoa;m;3
1;Nora;w;3
1;Naser;m;3
1;Noubissie;w;3
1;Nathaniel;m;3
1;Noémi;w;3
1;Niam;m;3
1;Nur;w;3
1;Nikolas;m;3
1;Ocean;w;3
1;Nikolaus;m;3
1;Octavia;w;3
1;Nil;m;3
1;Ophelia;w;3
1;Noel;m;3
1;Osarugue;w;3
1;Noél;m;3
1;Osman;w;3
1;Ole;m;3
1;Paula;w;3
1;Oliver;m;3
1;Pauline;w;3
1;Omoniyi;m;3
1;Peaches;w;3
1;Ousmane;m;3
1;Petronella;w;3
1;Pieter;m;3
1;Prema;w;3
1;Prodige;m;3
1;Rebecca;w;3
1;Rainer;m;3
1;Rebekka;w;3
1;Raúl;m;3
1;Renée;w;3
1;Reinhard;m;3
1;Resi;w;3
1;Rivus;m;3
1;Rey;w;3
1;Robert;m;3
1;Reyes;w;3
1;Roman;m;3
1;Riley;w;3
1;Siggi;m;3
1;Rita;w;3
1;Singh;m;3
1;Rose;w;3
1;Sulaiman;m;3
1;Sabine;w;3
1;Tam;m;3
1;Saleem;w;3
1;Tchapmi;m;3
1;Samantha;w;3
1;Tchoté;m;3
1;Satira;w;3
1;Thomas;m;3
1;Sefa;w;3
1;Toan;m;3
1;Shania;w;3
1;Tonatiuh;m;3
1;Sian;w;3
1;Tony;m;3
1;Silvia;w;3
1;Turan;m;3
1;Simeonov;w;3
1;Udo;m;3
1;Skyla;w;3
1;Ulysses;m;3
1;Sloth;w;3
1;Urban;m;3
1;Sofie;w;3
1;Valencio;m;3
1;Sophia;w;3
1;Valentin;m;3
1;Summer;w;3
1;Viktor;m;3
1;Suna;w;3
1;Vincenzo;m;3
1;Susanne;w;3
1;Volker;m;3
1;Taiwo;w;3
1;Waldemar;m;3
1;Thea;w;3
1;Wedigo;m;3
1;Therese;w;3
1;Wiklo;m;3
1;Theresia;w;3
1;Wilfried;m;3
1;Tuuli;w;3
1;Willi;m;3
1;Valencia;w;3
1;Willy;m;3
1;Victoria;w;3
1;Wolfgang;m;3
1;Violae;w;3
1;Xander;m;3
1;Walburga;w;3
1;Xaver;m;3
1;Wilhelmina;w;3
1;Xavier;m;3
1;Yang;w;3
1;Yasuo;m;3
1;Yemaya;w;3
1;Yeon-Oh;m;3
1;Yuna;w;3
1;Yonnel;m;3
1;Zineta;w;3
1;Zaman;m;3
1;Änni;w;3
1;Zbigniew;m;3
1;Zinédine;m;3
1;Çan;m;3
1;;w;2
1;Abeer;w;2
1;Achieng;w;2
1;Adanna;w;2
1;Adeline;w;2
1;Aderike;w;2
1;Adina;w;2
1;Afia;w;2
1;Afonso;w;2
1;Afrah;w;2
1;Afriyie;w;2
1;Agata;w;2
1;Agathe;w;2
1;Aglaia;w;2
1;Agnieszka;w;2
1;Agrippina;w;2
1;Ahmad;w;2
1;Ainhoa;w;2
1;Ainoa;w;2
1;Aissata;w;2
1;Ajana;w;2
1;Akari;w;2
1;Akhmedovna;w;2
1;Akina;w;2
1;Alba;w;2
1;Aleandra;w;2
1;Aleksandrovna;w;2
1;Alessia;w;2
1;Aletheia;w;2
1;Alex;w;2
1;Alexa;w;2
1;Alexis;w;2
1;Ali;w;2
1;Alica;w;2
1;Alida;w;2
